"codigo_oms","nombre_ingles","nombre_espanol","codigos_cie10"
"CG0000","All Causes","Todas las causas","A00-Y89"
"CG0010","Communicable, maternal, perinatal and nutritional conditions","Enfermedades transmisibles, maternas, perinatales y nutricionales","A00-B99, D50-D53, D64.9, E00-E02, E40-E46, E50-E64, G00-G04, G14, H65-H66, J00-J22, N70-N73, O00-O99, P00-P96, U04, U07.1, U07.2, U09.9, U10.9"
"CG0020","Infectious and parasitic diseases","Enfermedades infecciosas y parasitarias","A00-B99, G00-G04, G14, N70-N73, P37.3, P37.4"
"CG0030","Tuberculosis","Tuberculosis","A15-A19, B90"
"CG0040","STDs excluding HIV","Enfermedades de transmisión sexual excluido VIH","A50-A64, N70-N73"
"CG0050","Syphilis","Sífilis","A50-A53"
"CG0060","Chlamydia","Clamidia","A55-A56"
"CG0070","Gonorrhoea","Gonorrea","A54"
"CG0080","Other STDs","Otras enfermedades de transmisión sexual","A57-A64, N70-N73"
"CG0090","HIV/AIDS","VIH/SIDA","B20-B24"
"CG0100","Diarrhoeal diseases","Enfermedades diarreicas","A00, A01, A03, A04, A06-A09"
"CG0110","Childhood-cluster diseases","Enfermedades prevenibles por vacunación en la infancia","A33-A37, A80, B05, B91, G14"
"CG0120","Pertussis","Tos ferina (pertussis)","A37"
"CG0130","Poliomyelitis","Poliomielitis","A80, B91, G14"
"CG0140","Diphtheria","Difteria","A36"
"CG0150","Measles","Sarampión","B05"
"CG0160","Tetanus","Tétanos","A33-A35"
"CG0170","Meningitis","Meningitis","A39, G00, G03"
"CG0180","Hepatitis B","Hepatitis B","B16-B19 (excepto B17.1, B18.2)"
"CG0190","Hepatitis C","Hepatitis C","B17.1, B18.2"
"CG0200","Malaria","Malaria (paludismo)","B50-B54, P37.3, P37.4"
"CG0210","Tropical-cluster diseases","Enfermedades tropicales agrupadas","B55-B57, B65, B73, B74.0-B74.2"
"CG0220","Trypanosomiasis","Tripanosomiasis","B56"
"CG0230","Chagas disease","Enfermedad de Chagas","B57"
"CG0240","Schistosomiasis","Esquistosomiasis","B65"
"CG0250","Leishmaniasis","Leishmaniasis","B55"
"CG0260","Lymphatic filariasis","Filariasis linfática","B74.0-B74.2"
"CG0270","Onchocerciasis","Oncocercosis","B73"
"CG0280","Leprosy","Lepra","A30"
"CG0290","Dengue","Dengue","A90-A91, A97"
"CG0300","Japanese encephalitis","Encefalitis japonesa","A83.0"
"CG0310","Trachoma","Tracoma","A71"
"CG0320","Intestinal nematode infections","Infecciones intestinales por nematodos","B76-B81"
"CG0330","Ascariasis","Ascariasis","B77"
"CG0340","Trichuriasis","Tricuriasis","B79"
"CG0350","Hookworm disease","Anquilostomiasis","B76"
"CG0360","Other intestinal infections","Otras infecciones intestinales","B78, B80, B81"
"CG0370","Other infectious diseases","Otras enfermedades infecciosas","A02, A05, A20-A28, A31, A32, A38, A40-A49, A65-A70, A74-A79, A81, A82, A83.1-A83.9, A84-A89, A92-A99, B00-B04, B06-B15, B25-B49, B58-B60, B64, B66-B72, B74.3-B74.9, B75, B82-B89, B92-B99, G04"
"CG0380","Respiratory infections","Infecciones respiratorias","H65-H66, J00-J22, P23, U04, U07.1, U07.2, U09.9, U10.9"
"CG0390","Lower respiratory infections","Infecciones respiratorias bajas","J09-J22, P23, U04"
"CG0395","COVID-19","COVID-19","U07.1, U07.2, U09.9, U10.9"
"CG0400","Upper respiratory infections","Infecciones respiratorias altas","J00-J06"
"CG0410","Otitis media","Otitis media","H65-H66"
"CG0420","Maternal conditions","Afecciones maternas","O00-O99"
"CG0430","Maternal haemorrhage","Hemorragia materna","O44-O46, O67, O72"
"CG0440","Maternal sepsis","Sepsis materna","O85-O86"
"CG0450","Hypertensive disorders","Trastornos hipertensivos del embarazo","O10-O16"
"CG0460","Obstructed labour","Parto obstruido","O64-O66"
"CG0470","Abortion","Aborto","O00-O07"
"CG0480","Other maternal conditions","Otras afecciones maternas","O20-O43, O47-O63, O68-O71, O73-O75, O87-O99"
"CG0490","Perinatal conditions","Afecciones perinatales","P00-P96 (excepto P23, P37.3, P37.4)"
"CG0500","Low birth weight","Bajo peso al nacer","P05, P07, P22, P27-P28"
"CG0510","Birth asphyxia and birth trauma","Asfixia y traumatismo al nacer","P03, P10-P15, P20-P21, P24-P26, P29"
"CG0520","Other perinatal conditions","Otras afecciones perinatales","P00-P02, P04, P08, P35-P96"
"CG0530","Nutritional deficiencies","Deficiencias nutricionales","E00-E02, E40-E46, E50, D50-D53, D64.9, E51-E64"
"CG0540","Protein-energy malnutrition","Desnutrición proteico-energética","E40-E46"
"CG0550","Iodine deficiency","Deficiencia de yodo","E00-E02"
"CG0560","Vitamin A deficiency","Deficiencia de vitamina A","E50"
"CG0570","Iron-deficiency anaemia","Anemia por deficiencia de hierro","D50, D64.9"
"CG0580","Other nutritional disorders","Otros trastornos nutricionales","D51-D53, E51-E64"
"CG0590","Noncommunicable diseases","Enfermedades no transmisibles","C00-C97, D00-D48, D55-D64 (excepto D64.9), D65-D89, E03-E07, E10-E34, E65-E88, F01-F99, G06-G98 (excepto G14), H00-H61, H68-H93, I00-I99, J30-J98, K00-K92, L00-L98, M00-M99, N00-N64, N75-N98, Q00-Q99, R95, U07.0, X41, X42, X44, X45"
"CG0600","Malignant neoplasms","Neoplasias malignas","C00-C97"
"CG0610","Mouth and oropharynx cancers","Cánceres de boca y orofaringe","C00-C14"
"CG0611","a. Lip and oral cavity cancers","a. Cáncer de labio y cavidad oral","C00-C08"
"CG0612","b. Nasopharynx cancers","b. Cáncer de nasofaringe","C11"
"CG0613","c. Other pharynx cancer","c. Cáncer de otras partes de la faringe","C09-C10, C12-C14"
"CG0620","Oesophagus cancer","Cáncer de esófago","C15"
"CG0630","Stomach cancer","Cáncer de estómago","C16"
"CG0640","Colon and rectum cancers","Cáncer de colon y recto","C18-C21"
"CG0650","Liver cancer","Cáncer de hígado","C22"
"CG0660","Pancreas cancer","Cáncer de páncreas","C25"
"CG0670","Trachea, bronchus, lung cancers","Cáncer de tráquea, bronquios y pulmón","C33-C34"
"CG0680","Melanoma and other skin cancers","Melanoma y otros cánceres de piel","C43-C44"
"CG0681","a. Malignant skin melanoma","a. Melanoma maligno de piel","C43"
"CG0682","b. Non-melanoma skin cancer","b. Cáncer de piel no melanoma","C44"
"CG0690","Breast cancer","Cáncer de mama","C50"
"CG0700","Cervix uteri cancer","Cáncer de cuello uterino","C53"
"CG0710","Corpus uteri cancer","Cáncer de cuerpo uterino","C54-C55"
